ID,Expert,Experience_years,Background_and_role,Digital_maturity,Main_barriers,Roadmap_pillars,Prioritization_0-2yrs
1,Ahmad,20,Project manager,Very low level,Nobody demand,Governance and collaboration,funding
2,Salem,18,Site engineer,low level,Low awareness,Governance and collaboration,policy
3,Dana,13,Office engineer,Very low level,Change resistance,AI applications,funding
4,Firas,22,Project manager,low level,Cost,Data & BIM/DT infrastructure,policy
5,Khaled,17,Site engineer,Very low level,No experts to train,Circular economy,policy
6,Samar,24,Safety engineer,low level,Not included in schools or university,Governance and collaboration,funding
7,Rami,28,Quality engineer,low level,Benefit not tangible,AI applications,policy
8,Bilal,16,Project manager,low level,No training centers,Data & BIM/DT infrastructure,funding
9,Maleik,11,Site engineer,low level,No experts,Circular economy,partnerships
10,Rania,19,Quantifying engineer,Very low level,Cost,Governance and collaboration,partnerships
